player-name,season,match,batting-runs,balls,out,4s,6s,sr,overs,maiden,bowling-runs,wickets,econ,0s,4s,6s,catches,run-out,stumping
kagiso-rabada,0,0,0,0,0,0,0,0,3.0,0,25,0,8.33,7,2,1,0,1,0
avesh-khan,0,0,0,0,0,0,0,0,4.0,0,34,3,8.5,9,3,1,0,0,0
shikhar-dhawan,2021,20,28,26,1,3,0,107.69,0,0,0,0,0,0,0,0,1,0,0
steven-smith,2021,20,34,25,0,3,1,136.0,0,0,0,0,0,0,0,0,0,0,0
ravichandran-ashwin,0,0,0,0,0,0,0,0,4.0,0,27,0,6.75,12,3,1,0,0,0
amit-mishra,0,0,0,0,0,0,0,0,4.0,0,31,1,7.75,8,3,0,0,0,0
shimron-hetmyer,2021,20,1,2,1,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0
rishabh-pant,2021,20,37,27,1,4,1,137.03,0,0,0,0,0,0,0,0,0,0,1
axar-patel,0,0,0,0,0,0,0,0,4.0,0,26,2,6.5,11,2,1,0,0,0
marcus-stoinis,2021,20,2,2,0,0,0,100.0,1.0,0,12,0,12.0,2,1,1,1,0,0
siddarth-kaul,0,0,0,0,0,0,0,0,4.0,0,31,2,7.75,8,1,2,0,0,0
jagadeesha-suchith,2021,20,14,6,0,2,1,233.33,4.0,0,21,0,5.25,9,2,0,1,1,0
virat-singh,2021,20,4,14,1,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0
david-warner,2021,20,6,8,1,0,0,75.0,0,0,0,0,0,0,0,0,0,0,0
kedar-jadhav,2021,20,9,9,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0
rashid-khan,2021,20,0,1,1,0,0,0.0,4.0,0,31,1,7.75,7,4,0,0,0,0
jonny-bairstow,2021,20,38,18,1,3,4,211.11,0,0,0,0,0,0,0,0,0,0,0
khaleel-ahmed,0,0,0,0,0,0,0,0,4.0,0,42,0,10.5,6,6,1,0,1,0
vijay-shankar,2021,20,8,7,1,0,0,114.28,3.0,0,19,0,6.33,7,1,0,0,0,0
abhishek-sharma,2021,20,5,6,1,0,0,83.33,1.0,0,14,0,14.0,2,3,0,0,0,0
kane-williamson,2021,20,66,51,0,8,0,129.41,0,0,0,0,0,0,0,0,1,0,0
dwayne-bravo,0,0,0,0,0,0,0,0,2.0,0,19,0,9.5,4,0,2,0,0,0
shardul-thakur,0,0,0,0,0,0,0,0,4.0,0,11,1,2.75,17,1,0,0,0,0
ambati-rayudu,2021,19,14,7,1,1,1,200.0,0,0,0,0,0,0,0,0,0,0,0
ms-dhoni,2021,19,2,3,0,0,0,66.66,0,0,0,0,0,0,0,0,1,0,0
imran-tahir,0,0,0,0,0,0,0,0,4.0,0,16,2,4.0,14,1,0,0,1,0
deepak-chahar,0,0,0,0,0,0,0,0,2.0,0,25,0,12.5,4,5,0,0,0,0
faf-du-plessis,2021,19,50,41,1,5,1,121.95,0,0,0,0,0,0,0,0,0,0,0
ruturaj-gaikwad,2021,19,33,25,1,4,1,132.0,0,0,0,0,0,0,0,0,1,0,0
sam-curran,0,0,0,0,0,0,0,0,4.0,0,35,1,8.75,9,2,2,0,0,0
suresh-raina,2021,19,24,18,1,1,3,133.33,0,0,0,0,0,0,0,0,2,0,0
ravindra-jadeja,2021,19,62,28,0,4,5,221.42,4.0,1,13,3,3.25,15,1,0,0,1,0
devdutt-padikkal,2021,19,34,15,1,4,2,226.66,0,0,0,0,0,0,0,0,1,0,0
yuzvendra-chahal,2021,19,8,21,0,0,0,38.09,3.0,0,24,1,8.0,8,1,2,0,0,0
glenn-maxwell,2021,19,22,15,1,3,0,146.66,0,0,0,0,0,0,0,0,0,0,0
virat-kohli,2021,19,8,7,1,1,0,114.28,0,0,0,0,0,0,0,0,0,0,0
mohammed-siraj,2021,19,12,14,0,0,1,85.71,4.0,0,32,0,8.0,9,3,1,0,0,0
dan-christian,2021,19,1,3,1,0,0,33.33,2.0,0,12,0,6.0,5,1,0,1,0,0
ab-de-villiers,2021,19,4,9,1,0,0,44.44,0,0,0,0,0,0,0,0,0,0,0
harshal-patel,2021,19,0,8,1,0,0,0.0,4.0,0,51,3,12.75,9,2,5,0,0,0
navdeep-saini,2021,19,2,4,1,0,0,50.0,2.0,0,27,0,13.5,1,3,1,0,0,0
kyle-jamieson,2021,19,16,13,1,1,1,123.07,3.0,0,31,0,10.33,5,4,1,2,0,0
washington-sundar,2021,19,7,11,1,1,0,63.63,2.0,0,13,0,6.5,7,1,1,0,0,0
prasidh-krishna,2021,18,0,0,0,0,0,0.0,3.0,0,20,1,6.66,8,2,0,1,0,0
pat-cummins,2021,18,10,6,1,0,1,166.66,3.5,0,36,0,9.39,4,3,1,0,0,0
dinesh-karthik,2021,18,25,24,1,4,0,104.16,0,0,0,0,0,0,0,0,0,0,0
rahul-tripathi,2021,18,36,26,1,1,2,138.46,0,0,0,0,0,0,0,0,0,0,0
andre-russell,2021,18,9,7,1,0,1,128.57,0,0,0,0,0,0,0,0,0,0,0
eoin-morgan,2021,18,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
varun-chakravarthy,0,0,0,0,0,0,0,0,4.0,0,32,2,8.0,8,5,0,0,0,0
sunil-narine,2021,18,6,7,1,1,0,85.71,4.0,0,20,0,5.0,11,0,1,0,2,0
shivam-mavi,2021,18,5,7,1,1,0,71.42,4.0,0,19,1,4.75,17,3,0,0,0,0
