,points
3843,92
2064,89
1362,6
1365,49
4594,51
4564,66
3343,34
1415,34
921,25
866,0
811,48
2042,20
4562,68
4069,34
319,-6
3174,112
232,73
4503,12
2638,27
833,-2
290,0
4498,1
4117,91
591,76
1540,8
4744,25
4158,85
2085,33
4255,6
296,-2
4537,34
3796,8
4243,0
2109,5
2354,22
3104,37
2593,98
3214,2
1315,51
1760,18
4474,84
3024,32
557,58
3296,0
484,2
2896,25
3176,4
4821,41
3374,5
3500,16
2147,5
4249,6
1264,66
2006,74
641,10
3679,35
2994,14
1230,51
4889,39
1029,7
955,48
1959,60
4056,107
393,27
3739,2
372,27
4531,25
2100,25
4246,30
1573,17
1196,147
3487,2
2175,21
3436,1
2660,12
238,9
314,132
2647,16
4190,4
2377,29
2751,37
1554,17
542,16
1821,13
4609,37
620,6
879,3
691,-2
2110,12
35,21
932,6
2848,21
3683,58
3579,29
4728,29
3950,27
4472,9
4245,33
1651,3
1667,50
2692,5
3563,26
4208,25
1106,52
4420,52
2161,66
4173,0
1526,0
241,11
4874,33
2744,21
877,58
1405,29
2137,78
3071,27
4536,29
4110,4
2926,1
4906,22
998,43
3295,27
1976,0
1753,28
1805,41
3120,8
4233,33
4369,130
4241,58
8,37
3948,31
2466,0
3137,20
3641,58
2059,31
2984,92
413,17
4122,66
2998,-6
1605,27
1274,23
1792,30
4811,0
1099,6
3831,117
2091,8
3421,19
2824,68
1903,58
3965,16
2430,68
2339,19
4610,1
1076,95
3148,4
4142,93
1638,27
900,2
3633,4
3757,58
416,46
1604,-3
4406,30
1639,77
3409,-4
2052,88
1243,29
1808,19
3907,74
3179,75
3505,1
340,4
1735,62
1849,1
4669,59
3002,29
1971,128
2146,34
10,25
1749,1
2267,15
3639,21
3661,54
1779,96
1220,8
961,-4
3221,0
4544,22
2962,28
4943,86
3126,73
1359,31
764,50
3009,27
367,62
2793,1
265,3
4459,35
743,8
4162,54
1645,97
4505,33
672,49
3159,97
1122,43
560,138
1398,39
3021,29
4048,29
4794,12
3999,58
1344,60
4644,12
2500,18
728,1
846,2
3917,-2
4151,15
165,24
2752,-2
2952,8
4883,54
3369,37
655,0
1710,125
2845,0
1089,39
2035,69
1871,93
1637,36
3591,16
272,-4
2387,54
2594,6
865,0
3244,2
3798,-2
3026,2
4357,2
3846,37
4733,31
2306,54
3973,23
2502,34
2173,5
4079,64
4727,12
2054,95
3452,4
429,25
3533,0
2964,0
3337,6
576,34
4127,37
4685,6
4866,33
4215,130
1319,17
3933,49
4379,25
4760,0
1741,37
3685,88
3647,87
1321,7
1430,56
2581,1
1200,37
310,120
3584,23
1654,85
447,6
207,10
368,16
3470,23
418,35
1969,-2
409,131
4775,50
697,4
3506,50
4767,41
3302,14
1776,105
3366,18
2821,0
2221,38
598,-2
3714,110
3465,53
4820,1
325,-2
1888,23
780,-2
1980,52
4695,52
3206,25
480,29
733,3
1270,19
2432,11
377,19
1426,40
3327,107
4500,15
1478,-2
2036,25
1917,37
2788,162
4938,51
4542,18
2105,26
872,44
4787,6
2471,66
638,6
539,39
2172,81
3981,19
855,2
2211,20
148,0
2435,64
1873,71
3377,70
1423,5
4144,31
3118,66
2689,25
2018,54
2220,72
1621,9
4890,98
2566,62
3686,104
657,79
4065,29
2408,-2
1718,52
1905,67
2078,32
1705,28
1346,58
4363,75
19,87
2349,117
2136,50
404,0
291,10
1334,73
742,115
4177,51
3136,101
1872,16
2801,89
2402,23
256,5
1456,16
1378,28
4325,108
3541,50
1229,8
3243,0
2884,96
3040,2
4615,94
752,33
2446,13
1838,47
2771,-2
154,20
4711,103
1594,39
3947,62
4206,58
3119,44
4258,5
3070,6
3087,93
2234,22
161,30
4124,-2
360,5
2300,24
4949,52
2907,29
2776,88
2624,9
2493,-6
882,17
4024,60
4362,0
2883,12
2554,16
3451,60
1775,17
2134,24
4592,39
768,34
710,2
2975,-2
