season,match,status,toss-team,toss-decision,venue
2017,34,result,royal-challengers-bangalore,bowl,"Maharashtra Cricket Association Stadium, Pune"
2017,33,result,kings-xi-punjab,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2017,32,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
2017,31,result,gujarat-lions,bowl,"M Chinnaswamy Stadium, Bangalore"
2017,30,result,kolkata-knight-riders,bowl,"Maharashtra Cricket Association Stadium, Pune"
2017,28,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2017,27,result,royal-challengers-bangalore,bowl,"Eden Gardens, Kolkata"
2017,26,result,gujarat-lions,bowl,"Saurashtra Cricket Association Stadium, Rajkot"
2017,25,result,delhi-daredevils,bowl,"Wankhede Stadium, Mumbai"
2017,24,result,rising-pune-supergiant,bowl,"Maharashtra Cricket Association Stadium, Pune"
2017,23,result,gujarat-lions,bowl,"Eden Gardens, Kolkata"
2017,22,result,mumbai-indians,bowl,"Holkar Cricket Stadium, Indore"
2017,21,result,sunrisers-hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2017,20,result,gujarat-lions,bowl,"Saurashtra Cricket Association Stadium, Rajkot"
2017,19,result,kings-xi-punjab,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2017,18,result,delhi-daredevils,bat,"Feroz Shah Kotla, Delhi"
2017,17,result,royal-challengers-bangalore,bowl,"M Chinnaswamy Stadium, Bangalore"
2017,16,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2017,15,result,delhi-daredevils,bat,"Feroz Shah Kotla, Delhi"
2017,14,result,sunrisers-hyderabad,bowl,"Eden Gardens, Kolkata"
2017,13,result,gujarat-lions,bowl,"Saurashtra Cricket Association Stadium, Rajkot"
2017,12,result,mumbai-indians,bowl,"M Chinnaswamy Stadium, Bangalore"
2017,11,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
2017,10,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2017,9,result,rising-pune-supergiant,bowl,"Maharashtra Cricket Association Stadium, Pune"
2017,8,result,royal-challengers-bangalore,bat,"Holkar Cricket Stadium, Indore"
2017,7,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2017,6,result,sunrisers-hyderabad,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2017,5,result,royal-challengers-bangalore,bat,"M Chinnaswamy Stadium, Bangalore"
2017,4,result,kings-xi-punjab,bowl,"Holkar Cricket Stadium, Indore"
2017,3,result,kolkata-knight-riders,bowl,"Saurashtra Cricket Association Stadium, Rajkot"
2017,2,result,rising-pune-supergiant,bowl,"Maharashtra Cricket Association Stadium, Pune"
2017,1,result,royal-challengers-bangalore,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
